m4.10xlarge, eu-central-1a, download, 1024, 0m30.169s
m4.10xlarge, eu-central-1a, download, 1024, 0m28.809s
m4.10xlarge, eu-central-1a, download, 1024, 0m28.961s
m4.10xlarge, eu-central-1a, download, 2048, 0m59.247s
m4.10xlarge, eu-central-1a, download, 2048, 0m56.226s
m4.10xlarge, eu-central-1a, download, 2048, 0m55.989s
m4.10xlarge, eu-central-1a, download, 2048, 0m56.196s
m4.10xlarge, eu-central-1a, download, 2048, 0m55.857s
m4.10xlarge, eu-central-1a, download, 2048, 0m58.222s
m4.10xlarge, eu-central-1a, download, 4096, 1m52.295s
m4.10xlarge, eu-central-1a, download, 4096, 1m48.892s
m4.10xlarge, eu-central-1a, download, 4096, 1m47.692s
m4.10xlarge, eu-central-1a, download, 4096, 1m48.752s
m4.10xlarge, eu-central-1a, download, 4096, 1m48.145s
m4.10xlarge, eu-central-1a, download, 4096, 1m48.309s
m4.10xlarge, eu-central-1a, download, 8192, 2m51.528s
m4.10xlarge, eu-central-1a, download, 8192, 2m53.998s
m4.10xlarge, eu-central-1a, download, 8192, 3m6.264s
m4.10xlarge, eu-central-1a, download, 8192, 2m54.830s
m4.10xlarge, eu-central-1a, download, 8192, 3m17.937s
m4.10xlarge, eu-central-1a, download, 8192, 3m2.859s
