c4.8xlarge, us-east-1b, download, 1024, 0m5.778s
c4.8xlarge, us-east-1b, download, 1024, 0m6.426s
c4.8xlarge, us-east-1b, download, 1024, 0m6.198s
c4.8xlarge, us-east-1b, download, 1024, 0m5.936s
c4.8xlarge, us-east-1b, download, 1024, 0m5.412s
c4.8xlarge, us-east-1b, download, 2048, 0m9.453s
c4.8xlarge, us-east-1b, download, 2048, 0m10.440s
c4.8xlarge, us-east-1b, download, 2048, 0m10.329s
c4.8xlarge, us-east-1b, download, 2048, 0m10.409s
c4.8xlarge, us-east-1b, download, 2048, 0m10.399s
c4.8xlarge, us-east-1b, download, 2048, 0m11.356s
c4.8xlarge, us-east-1b, download, 4096, 0m46.673s
c4.8xlarge, us-east-1b, download, 4096, 0m45.163s
c4.8xlarge, us-east-1b, download, 4096, 0m47.672s
c4.8xlarge, us-east-1b, download, 4096, 0m45.971s
c4.8xlarge, us-east-1b, download, 4096, 0m45.583s
c4.8xlarge, us-east-1b, download, 4096, 0m46.039s
c4.8xlarge, us-east-1b, download, 8192, 1m24.509s
c4.8xlarge, us-east-1b, download, 8192, 1m21.685s
c4.8xlarge, us-east-1b, download, 8192, 1m20.601s
c4.8xlarge, us-east-1b, download, 8192, 1m21.047s
c4.8xlarge, us-east-1b, download, 8192, 1m20.374s
c4.8xlarge, us-east-1b, download, 8192, 1m22.043s
