c4.xlarge, ap-northeast-1c, download, 512, 0m26.288s
c4.xlarge, ap-northeast-1c, download, 512, 0m27.124s
c4.xlarge, ap-northeast-1c, download, 512, 0m26.734s
c4.xlarge, ap-northeast-1c, download, 1024, 0m50.235s
c4.xlarge, ap-northeast-1c, download, 1024, 0m50.577s
c4.xlarge, ap-northeast-1c, download, 1024, 0m47.788s
c4.xlarge, ap-northeast-1c, download, 1024, 0m50.572s
c4.xlarge, ap-northeast-1c, download, 1024, 0m46.951s
c4.xlarge, ap-northeast-1c, download, 1024, 0m48.008s
c4.xlarge, ap-northeast-1c, download, 2048, 1m35.401s
c4.xlarge, ap-northeast-1c, download, 2048, 1m33.062s
c4.xlarge, ap-northeast-1c, download, 2048, 1m35.359s
c4.xlarge, ap-northeast-1c, download, 2048, 1m33.602s
c4.xlarge, ap-northeast-1c, download, 2048, 1m32.426s
c4.xlarge, ap-northeast-1c, download, 2048, 1m35.032s
c4.xlarge, ap-northeast-1c, download, 4096, 3m11.643s
c4.xlarge, ap-northeast-1c, download, 4096, 3m0.288s
c4.xlarge, ap-northeast-1c, download, 4096, 2m55.688s
c4.xlarge, ap-northeast-1c, download, 4096, 3m3.488s
c4.xlarge, ap-northeast-1c, download, 4096, 2m59.194s
c4.xlarge, ap-northeast-1c, download, 4096, 3m0.200s
c4.xlarge, ap-northeast-1c, download, 8192, 5m2.573s
c4.xlarge, ap-northeast-1c, download, 8192, 5m3.624s
c4.xlarge, ap-northeast-1c, download, 8192, 4m59.132s
c4.xlarge, ap-northeast-1c, download, 8192, 5m1.975s
c4.xlarge, ap-northeast-1c, download, 8192, 5m2.593s
c4.xlarge, ap-northeast-1c, download, 8192, 5m4.862s
