c4.xlarge, us-west-2c, download, 4096, 1m38.101s
c4.xlarge, us-west-2c, download, 4096, 1m36.732s
c4.xlarge, us-west-2c, download, 4096, 1m40.405s
c4.xlarge, us-west-2c, download, 4096, 1m42.036s
c4.xlarge, us-west-2c, download, 4096, 1m42.773s
c4.xlarge, us-west-2c, download, 8192, 3m3.829s
c4.xlarge, us-west-2c, download, 8192, 2m41.785s
c4.xlarge, us-west-2c, download, 8192, 2m39.102s
c4.xlarge, us-west-2c, download, 8192, 2m33.876s
c4.xlarge, us-west-2c, download, 8192, 2m32.013s
c4.xlarge, us-west-2c, download, 8192, 2m37.164s
