m4.xlarge, ap-northeast-1c, download, 256, 0m17.222s
m4.xlarge, ap-northeast-1c, download, 512, 0m26.683s
m4.xlarge, ap-northeast-1c, download, 512, 0m27.023s
m4.xlarge, ap-northeast-1c, download, 512, 0m26.598s
m4.xlarge, ap-northeast-1c, download, 512, 0m26.627s
m4.xlarge, ap-northeast-1c, download, 512, 0m26.592s
m4.xlarge, ap-northeast-1c, download, 512, 0m27.679s
m4.xlarge, ap-northeast-1c, download, 1024, 0m48.828s
m4.xlarge, ap-northeast-1c, download, 1024, 0m48.646s
m4.xlarge, ap-northeast-1c, download, 1024, 0m47.777s
m4.xlarge, ap-northeast-1c, download, 1024, 0m49.887s
m4.xlarge, ap-northeast-1c, download, 1024, 0m48.442s
m4.xlarge, ap-northeast-1c, download, 1024, 0m48.599s
m4.xlarge, ap-northeast-1c, download, 2048, 1m36.671s
m4.xlarge, ap-northeast-1c, download, 2048, 1m35.997s
m4.xlarge, ap-northeast-1c, download, 2048, 1m34.891s
m4.xlarge, ap-northeast-1c, download, 2048, 1m35.298s
m4.xlarge, ap-northeast-1c, download, 2048, 1m35.227s
m4.xlarge, ap-northeast-1c, download, 2048, 1m34.871s
m4.xlarge, ap-northeast-1c, download, 4096, 3m3.353s
m4.xlarge, ap-northeast-1c, download, 4096, 3m8.757s
m4.xlarge, ap-northeast-1c, download, 4096, 3m5.748s
m4.xlarge, ap-northeast-1c, download, 4096, 3m4.272s
m4.xlarge, ap-northeast-1c, download, 4096, 3m4.773s
m4.xlarge, ap-northeast-1c, download, 4096, 2m58.445s
m4.xlarge, ap-northeast-1c, download, 8192, 5m4.308s
m4.xlarge, ap-northeast-1c, download, 8192, 4m56.711s
m4.xlarge, ap-northeast-1c, download, 8192, 5m3.133s
m4.xlarge, ap-northeast-1c, download, 8192, 4m57.930s
m4.xlarge, ap-northeast-1c, download, 8192, 4m53.453s
m4.xlarge, ap-northeast-1c, download, 8192, 4m59.120s
